LocationID,National LGA Name 2021,State
1,Wagga Wagga,NSW
2,Hawkesbury,NSW
3,Northern Midlands,Tas
4,Armidale Regional,NSW
5,Unknown,Vic
6,Lockyer Valley,Qld
7,Wakefield,SA
8,Unknown,WA
9,Southern Downs,Qld
10,Brighton,Tas
11,West Tamar,Tas
12,Mid Murray,SA
13,Blue Mountains,NSW
14,Upper Lachlan,NSW
15,Wattle Range,SA
16,Cairns,Qld
17,Unincorporated ACT,ACT
18,Wollongong,NSW
19,Penrith,NSW
20,Upper Hunter,NSW
21,South Burnett,Qld
22,Mid-Western Regional,NSW
23,Canterbury-Bankstown,NSW
24,Unknown,NT
25,Mitchell,Vic
26,Greater Hume,NSW
27,Barossa,SA
28,Port Macquarie-Hastings,NSW
29,Mackay,Qld
30,Douglas,Qld
31,Yankalilla,SA
32,Logan,Qld
33,Dorset,Tas
34,Nambucca Valley,NSW
35,Narromine,NSW
36,Fraser Coast,Qld
37,Unincorporated SA,SA
38,Shellharbour,NSW
39,Narrabri,NSW
40,Cook,Qld
41,Tenterfield,NSW
42,Greater Bendigo,Vic
43,Central Coast,NSW
44,Tamworth Regional,NSW
45,Whittlesea,Vic
46,Hilltops,NSW
47,Forbes,NSW
48,Toowoomba,Qld
49,Lake Macquarie,NSW
50,Livingstone,Qld
51,Blacktown,NSW
52,Dubbo Regional,NSW
53,Balranald,NSW
54,Lockhart River,Qld
55,Golden Plains,Vic
56,Light,SA
57,Ipswich,Qld
58,Cassowary Coast,Qld
59,Tumby Bay,SA
60,Liverpool,NSW
61,Cumberland,NSW
62,Muswellbrook,NSW
63,Moreton Bay,Qld
64,Ballina,NSW
65,Kyogle,NSW
66,Bundaberg,Qld
67,Melbourne,Vic
68,Brisbane,Qld
69,Snowy Valleys,NSW
70,Whitsunday,Qld
71,Fairfield,NSW
72,Yass Valley,NSW
73,Central Highlands (Qld),Qld
74,The Hills,NSW
75,Salisbury,SA
76,Port Stephens,NSW
77,Macedon Ranges,Vic
78,Moyne,Vic
79,Cardinia,Vic
80,East Gippsland,Vic
81,Hornsby,NSW
82,Mareeba,Qld
83,Mid-Coast,NSW
84,Rockhampton,Qld
85,Glenelg,Vic
86,Western Downs,Qld
87,Port Adelaide Enfield,SA
88,Cabonne,NSW
89,Gold Coast,Qld
90,Frankston,Vic
91,Moree Plains,NSW
92,Parramatta,NSW
93,Meander Valley,Tas
94,Queanbeyan-Palerang Regional,NSW
95,Snowy Monaro Regional,NSW
96,Federation,NSW
97,Unknown,ACT
98,Cowra,NSW
99,Goulburn Mulwaree,NSW
100,Gympie,Qld
101,Willoughby,NSW
102,Shoalhaven,NSW
103,Nillumbik,Vic
104,Tatiara,SA
105,Tweed,NSW
106,Ararat,Vic
107,Colac Otway,Vic
108,McKinlay,Qld
109,Singleton,NSW
110,Gladstone,Qld
111,Lithgow,NSW
112,Campbelltown,NSW
113,Sunshine Coast,Qld
114,Warrumbungle,NSW
115,Noosa,Qld
116,Gawler,SA
117,Alpine,Vic
118,Baw Baw,Vic
119,Isaac,Qld
120,Maranoa,Qld
121,Southern Grampians,Vic
122,Cessnock,NSW
123,Scenic Rim,Qld
124,Somerset,Qld
125,Hinchinbrook,Qld
126,Stonnington,Vic
127,Playford,SA
128,Cobar,NSW
129,Adelaide Hills,SA
130,Bega Valley,NSW
131,Tea Tree Gully,SA
132,Kiama,NSW
133,Wollondilly,NSW
134,Casey,Vic
135,Northern Areas,SA
136,Tablelands,Qld
137,Sydney,NSW
138,Murrindindi,Vic
139,Albury,NSW
140,Boroondara,Vic
141,Redland,Qld
142,South Gippsland,Vic
143,Yarra Ranges,Vic
144,Surf Coast,Vic
145,Mount Barker,SA
146,Maitland,NSW
147,Hobart,Tas
148,Mitcham,SA
149,Clarence Valley,NSW
150,Adelaide,SA
151,Clarence,Tas
152,Lismore,NSW
153,Greater Shepparton,Vic
154,Moreland,Vic
155,Narrandera,NSW
156,Huon Valley,Tas
